"Any","Mes","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Poblacio_16_64_anys","Pes_atur"
2023,4,6,"Gràcia",30,"la Salut",8216,"5.3"
2023,4,6,"Gràcia",31,"la Vila de Gràcia",34715,"4.6"
2023,4,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova",22585,"4.8"
2023,4,7,"Horta-Guinardó",33,"el Baix Guinardó",16344,"5.1"
2023,4,7,"Horta-Guinardó",34,"Can Baró",6075,"5.1"
2023,4,7,"Horta-Guinardó",35,"el Guinardó",24193,"5.6"
2023,4,7,"Horta-Guinardó",36,"la Font d'en Fargues",5854,"7.1"
2023,4,7,"Horta-Guinardó",37,"el Carmel",20903,"6.8"
2023,4,7,"Horta-Guinardó",38,"la Teixonera",7910,"6.0"
2023,4,7,"Horta-Guinardó",39,"Sant Genís dels Agudells",4594,"6.4"
2023,4,7,"Horta-Guinardó",40,"Montbau",3192,"6.6"
2023,4,7,"Horta-Guinardó",41,"la Vall d'Hebron",3523,"6.4"
2023,4,7,"Horta-Guinardó",42,"la Clota",477,"3.3"
2023,4,7,"Horta-Guinardó",43,"Horta",17590,"6.8"
2023,4,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta",16230,"6.9"
2023,4,8,"Nou Barris",45,"Porta",17904,"6.2"
2023,4,8,"Nou Barris",46,"el Turó de la Peira",10616,"6.5"
2023,4,8,"Nou Barris",47,"Can Peguera",1398,"6.9"
2023,4,8,"Nou Barris",48,"la Guineueta",8899,"8.8"
2023,4,8,"Nou Barris",49,"Canyelles",3956,"9.7"
2023,4,8,"Nou Barris",50,"les Roquetes",10737,"7.7"
2023,4,8,"Nou Barris",51,"Verdun",8239,"7.7"
2023,4,8,"Nou Barris",52,"la Prosperitat",16471,"7.6"
2023,4,8,"Nou Barris",53,"la Trinitat Nova",5046,"11.3"
2023,4,8,"Nou Barris",54,"Torre Baró",1998,"7.9"
2023,4,8,"Nou Barris",55,"Ciutat Meridiana",7021,"11.8"
2023,4,8,"Nou Barris",56,"Vallbona",903,"10.6"
